kID,kName
579,american football
1563,prisoner
246,dancing
208611,1950s
10041,dysfunctional family
4480,business man
3927,rage and hate
10614,tragedy
966,beach
4585,plastic surgery
9767,beautiful woman
4245,hijacking
15234,convict
7375,twin brother
2754,trauma
4142,insomnia
5918,painting
217324,murder hunt
9738,ufo
14755,power outage
1749,taxi driver
2340,paranoia
2564,wheelchair
6318,control
156234,cavalry
2944,senator
2952,gulf war
14638,american
156104,stranger
293,female nudity
156121,ex-con
534,mexico
179585,american civil war
634,soul
6154,hell
210530,spiritism
2132,literature
1705,congress
10721,pregnant
1815,atomic bomb
5369,guard
18029,trapped
209220,live action and animation
10937,memory
1992,professor
14906,slave
30,individual
222,schizophrenia
2303,mathematician
6009,mathematics
6262,delusion
2143,loss of parents
156091,missing person
6259,psychopath
999,sports car
10226,neighbor
10707,mother daughter relationship
10873,school
11687,breaking the fourth wall
167043,road movie
168346,"manhattan, new york city"
4197,bite
13072,falling in love
4097,independence
4278,invasion
458,hippie
2618,miracle
4995,aging
41589,dying
3045,mission of murder
3528,flooding
2571,tv show
6027,music
6275,school party
6706,performance
158375,based on stage musical
160910,xenophobia
165317,based on film
2626,exorcism
161261,demonic possession
2411,new orleans
3016,security camera
3017,jazz musician
8624,climbing
2808,russian
7879,secret love
532,music record
554,manager
1803,drug addiction
3089,oscar award
4746,record producer
10229,singer
34094,extramarital affair
41591,music band
4129,widow
922,hotel room
213,upper class
456,mother
3200,platonic love
4034,class society
5616,united states?mexico barrier
5625,relationship problems
6069,class
208349,child
2122,death penalty
3434,thailand
14903,home invasion
897,rap music
4884,infection
14782,trust
33465,parallel world
5451,comic book
3487,assistant
2884,asylum
15090,police officer
1227,cemetery
3342,yacht
3345,bahamas
10503,scuba diving
3485,comedian
10163,cancer
3754,legend
188114,u.s. marine
1889,lake
6898,quarantine
9880,alaska
12396,hollywood
13028,writer
795,running
3658,career
2434,liberation
3453,parents-in-law
14534,relationship
1008,guerrilla
2606,jew
10144,anti semitism
11105,swastika
163656,gun violence
156788,swat team
1595,ex-girlfriend
8181,swimming pool
1297,predator
1949,pyramid
226177,xenomorph
422,vietnam veteran
2957,vietnam war
11139,steel helmet
1495,fishing
13129,execution
3312,nuclear missile
155334,scuba
789,muslim
7336,car bomb
10048,unrequited love
2348,hustler
3979,hidden camera
10325,mistaken identity
18107,silencer
165100,young love
11038,trial
5970,wrestling
160488,hoodlum
158111,no opening credits
255,male nudity
155723,jack ryan
159431,voice over
7393,life's dream
10551,ballet
6158,cult
6165,historical figure
4924,insane asylum
3664,research
4434,interview
9849,beating
1448,distrust
14669,older man younger woman relationship
3271,secret organization
3288,secret lab
5049,ancient rome
207883,1940s
515,women
155294,family conflict
254,france
1412,becoming an adult
5707,childhood trauma
8631,slacker
3306,highway
11546,hitchhiker
15211,sunglasses
172971,elderly
1353,underground
1599,midlife crisis
1660,suppressed past
3321,childhood memory
708,runaway
459,sexual obsession
460,free love
1664,eroticism
10776,marijuana
33625,illegal prostitution
3182,seduction
3202,con man
9016,femme fatale
13043,dating
9259,vampire hunter
40847,near future
2946,presidential election
3692,scandal
10123,dark comedy
166625,candlelight vigil
6095,house
1482,trainer
11061,debt
6152,supernatural
15001,demon
516,child abuse
6272,children's home
15016,twins
3373,snow storm
3568,lone wolf
6257,genius
1375,submachine gun
75,gunslinger
395,gambling
5265,spying
10175,drug cartel
33476,widower
6483,ice hockey
10540,bollywood
14636,india
791,mentally disabled
11263,electric chair
7312,road trip
2479,chicken
3278,kgb
2147,claustrophobia
3836,success
15363,bank robbery
110,venice
8430,safe
33694,family holiday
2158,maze
188950,corporation
11325,shot to death
18115,retired
680,montana
6711,crisis
13112,murderer
2988,shark attack
3490,pop star
6029,concert
6564,terminal illness
6300,puppet
11627,paranormal phenomena
156174,occult
6145,right and justice
10121,stop motion
1797,loyalty
11219,navy seal
5514,conspiracy of murder
9897,rifle
1336,ransom
2562,press conference
34152,evolution
1485,stadium
3644,south africa
4106,apartheid
12987,poverty
505,starfleet
10911,inheritance
11333,cigar smoking
10877,dead body
2726,therapist
11719,dirty cop
1646,autism
3432,bangkok
4044,groupie
5288,rock
10683,coming of age
15291,on the road
2281,mistake in person
2613,luxury
10114,evil spirit
188989,supernatural power
3725,pregnancy and birth
445,pornography
290,angel
4627,earth
7271,tv ratings
5914,writer's block
1361,salesclerk
732,coma
1486,flirt
828,waitress
3541,afghanistan
1483,sports team
8338,coach
191222,the big game
155573,wild west
3489,job interview
174420,intern
14794,lust
33519,courtroom
8087,horror
6951,biker
162380,ex soldier
2956,vietnam
10624,bully
637,pop
3591,settler
8070,stag night
6593,stripper
13097,maid
960,homeless person
992,bus
34038,intrigue
1794,yakuza
3582,bride
2784,mother role
1601,war on drugs
15111,drinking
155291,cowboy
13068,impostor
158217,colonialism
5502,castration
14805,maniac
17987,killing spree
733,dancer
207716,actor
3065,minister
9824,reunion
12999,black and white
163110,theater
2389,virgin
9887,surrealism
4079,lighthouse
155790,private detective
894,depression
5767,summer camp
4459,vegetarian
700,italo-american
718,confession
1253,roommate
11254,loss of virginity
10768,lesbian
2887,manipulation
3134,louisiana
2231,drug dealer
155816,ex-wife
12339,slasher
11314,f word
209493,21st century
14602,break-up
7984,bikini
907,japanese
14522,co-worker
1667,pimp
4402,peasant
9755,parody
10818,author
3452,love letter
9468,liar
13132,pistol
622,bet
6270,high school
3012,court case
2671,heroin
745,nun
815,soulmates
162914,one night
1755,fascism
172391,catholic priest
1384,diamant
4320,lover
592,capitalism
1242,war against terror
34061,american abroad
2350,seattle
3762,darkness
179878,sleepwalking
9789,misfit
155791,american football player
33451,masturbation
6139,innocence
12105,student
163053,found footage
2526,human animal relationship
5890,community
1849,homicide
5034,attempt to escape
167310,sitting on a toilet
215404,laxative
2045,cynic
237,gay
6019,human trafficking
269,diving
2150,cocaine
4063,siege
184989,spectacle
10176,gun battle
6241,stupidity
15479,fashion
8627,stolen money
578,rock and roll
2570,rock star
5540,heavy metal
1025,great britain
6782,addiction
165282,high society
10131,interracial relationship
3363,hypnosis
14781,patient
1808,lover (female)
6162,past
1416,jazz
3149,gangster boss
33699,policeman
1525,puberty
4183,wife
796,police brutality
2801,self-defense
964,servant
10124,laboratory
5756,man-woman relation
3879,suspect
12416,horror spoof
879,brain tumor
3230,male friendship
3262,surgeon
904,pennsylvania
6278,scholarship
7920,violence in schools
193547,teachers and students
630,dolphin
4513,blind date
2492,bank robber
168869,gun in mouth
4108,protest
4690,moral conflict
14676,series of murders
1332,cheating
6946,blonde
9890,jail
1635,deaf-mute
12974,principal
1918,cooking
1545,supermarket
625,sadistic
739,sexual abuse
6025,photography
1417,jurors
10499,pool
5948,studies
496,poetry
3551,private school
6059,unsociability
10232,fame
6192,relation
165301,opposites attract
2273,role of women
10170,premonition
158718,lgbt
40879,drunk
548,countryside
898,hip-hop
3436,karate
11454,scam
390,skateboarding
10738,diner
787,mississippi
4214,beguilement
10329,wealth
155624,envy
727,country music
1741,blindness and impaired vision
5626,from rags to riches
2249,camcorder
5641,limousine
1013,homophobia
2341,nanny
8635,high school sports
180691,killer toys
2642,solar eclipse
3598,ax
11363,arson
1731,writing
3667,time
191100,romantic drama
155619,attic
2864,one-night stand
3584,bridesmaid
10556,male female relationship
178329,best friends in love
10181,based on play
41329,mental illness
1279,medicine
10326,morgue
156455,unhappiness
4528,song
207592,piano
33720,guilt
11040,masked killer
2727,porn actor
5498,lsd
11615,internet
13056,loss of wife
166287,school bus
10201,death of father
11336,young boy
4562,rapper
740,aids
12532,african american
1944,epilepsy
1004,commercial
367,shyness
6876,vacation
155722,teen comedy
178649,voyeurism
9864,prank
953,guitar
14698,throat slitting
2320,violent husband
6490,shopping mall
3508,underwear
6984,racial segregation
1546,ambulance
455,farewell
13088,summer
12400,brainwashing
159558,skiing
2269,aquarium
1679,arbitrary law
11469,memory loss
18396,catholic
2470,education
487,cairo
11925,domestic violence
1862,coming out
11181,decapitation
225209,dreams
18130,psychopathy
10058,sorority
157632,fraternity
2885,prison cell
1224,radio station
2974,jesus christ
155939,group of friends
9712,possession
1873,yuppie
14905,britain
179867,real estate
212412,very little dialogue
12565,psychological thriller
6563,wine
2679,artist
210024,anime
157154,psychotherapy
14546,massacre
74,germany
156777,teenage sexuality
6562,celebrity
236316,anarchic comedy
1208,irland
1759,night life
10586,korea
158558,disabled
2968,grave
5160,aggression by animal
14604,theft
2135,radio
9853,paranormal
12094,business
1338,bachelor
170827,sex comedy
13063,car accident
2920,cheerleader
15402,popularity
100,slum
4327,stroke of fate
5923,sister
10809,teenage girl
11870,teen movie
18179,drug addict
2300,despair
4328,costume
156195,family feud
437,painter
888,screenwriter
1578,loss of sister
919,smoking
813,sunrise
1517,classroom
14737,economics
10266,prom
2375,junkie
4781,miner
9786,burned alive
1329,canada
497,shakespeare
11707,suitor
18049,sex scene
207819,accident
34117,cult film
1890,camping
2081,department store
11732,cigarette smoking
2337,pedophilia
33841,incest
15237,alcohol abuse
2394,ghetto
8233,cops
3185,crocodile
11494,drug use
6844,stalker
14893,art
14624,cruelty
10965,playwright
2201,first time
4333,theatre group
6034,theatre milieu
54169,stoner
1900,immigration
15087,iraq war
13059,prostitution
1631,concentration camp
1829,beheading
40895,illness
165288,misogynist
2692,arranged marriage
2386,empowerment
1740,pop culture
5906,sex addiction
5956,stuntman
14985,ireland
156478,boyfriend
4232,melancholy
8636,blood splatter
34265,heartbreak
224279,bittersweet
15098,great white shark
958,indian lead
4100,british army
10333,stalking
4048,musician
18001,rock band
181324,existentialism
189421,female corpse
155881,estate
169152,twenty something
12394,chainsaw
11011,morality
4552,beer
8224,cannabis
3183,bisexuality
1443,clerk
1879,shower
11677,secretary
188237,teenage romance
3090,loser
11112,search
5159,tourist
9872,grief
41599,sailor
11508,jewish
10984,true
11524,in the closet
3201,orgasm
154802,silent film
12420,unsimulated sex
12090,cross dressing
157892,warehouse
207583,actress
173186,teenage pregnancy
179565,michael myers
2487,naivety
108,transvestism
9253,slapstick
10199,gay interest
3740,radio presenter
8029,drama
566,sexual identity
33910,high school student
14831,stabbing
208445,virginity
983,brazilian
9866,basement
171993,mumblecore
9833,lesbian relationship
941,tradition
154937,bisexual
206850,canuxploitation
179422,jason vorhees
210012,mumblegore
10073,documentary
9716,stand-up comedy
10060,christian film
195402,film noir
